INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT
852	96	5	27143669	542873	121.5	1.0	27143669	542873	121.5	1.0	50389046	1007780	121.5	1.0	15015647	300312	121.5	1.0	5919630	118392	121.5	1.0	19688479	393769	121.5	1.0	19688479	393769	121.5	1.0	10110564	202211	121.5	1.0	21215217	424304	121.5	1.0	8014981	160299	121.5	1.0	10287063	205741	121.5	1.0
853	97	5	27544807	550896	123.0	1.0	27544807	550896	123.0	1.0	51133712	1022674	123.0	1.0	15237553	304751	123.0	1.0	6007112	120142	123.0	1.0	19979442	399588	123.0	1.0	19979442	399588	123.0	1.0	10259982	205199	123.0	1.0	21528742	430574	123.0	1.0	8133429	162668	123.0	1.0	10439088	208781	123.0	1.0
854	98	5	27945945	558918	124.5	1.0	27945945	558918	124.5	1.0	51878378	1037567	124.5	1.0	15459459	309189	124.5	1.0	6094594	121891	124.5	1.0	20270405	405408	124.5	1.0	20270405	405408	124.5	1.0	10409399	208187	124.5	1.0	21842267	436845	124.5	1.0	8251877	165037	124.5	1.0	10591114	211822	124.5	1.0
855	99	5	28347083	566941	126.0	1.0	28347083	566941	126.0	1.0	52623044	1052460	126.0	1.0	15681365	313627	126.0	1.0	6182076	123641	126.0	1.0	20561367	411227	126.0	1.0	20561367	411227	126.0	1.0	10558816	211176	126.0	1.0	22155793	443115	126.0	1.0	8370325	167406	126.0	1.0	10743139	214862	126.0	1.0
856	100	5	28748221	574964	127.5	1.0	28748221	574964	127.5	1.0	53367709	1067354	127.5	1.0	15903271	318065	127.5	1.0	6269559	125391	127.5	1.0	20852330	417046	127.5	1.0	20852330	417046	127.5	1.0	10708233	214164	127.5	1.0	22469318	449386	127.5	1.0	8488773	169775	127.5	1.0	10895165	217903	127.5	1.0
857	101	5	29149359	582987	129.0	1.0	29149359	582987	129.0	1.0	54112375	1082247	129.0	1.0	16125177	322503	129.0	1.0	6357041	127140	129.0	1.0	21143293	422865	129.0	1.0	21143293	422865	129.0	1.0	10857651	217153	129.0	1.0	22782844	455656	129.0	1.0	8607221	172144	129.0	1.0	11047190	220943	129.0	1.0
858	102	5	29550497	591009	130.5	1.0	29550497	591009	130.5	1.0	54857041	1097140	130.5	1.0	16347083	326941	130.5	1.0	6444523	128890	130.5	1.0	21434256	428685	130.5	1.0	21434256	428685	130.5	1.0	11007068	220141	130.5	1.0	23096369	461927	130.5	1.0	8725669	174513	130.5	1.0	11199216	223984	130.5	1.0
859	103	5	29951635	599032	132.0	1.0	29951635	599032	132.0	1.0	55601706	1112034	132.0	1.0	16568990	331379	132.0	1.0	6532005	130640	132.0	1.0	21725218	434504	132.0	1.0	21725218	434504	132.0	1.0	11156485	223129	132.0	1.0	23409894	468197	132.0	1.0	8844117	176882	132.0	1.0	11351242	227024	132.0	1.0
860	104	5	30352773	607055	133.5	1.0	30352773	607055	133.5	1.0	56346372	1126927	133.5	1.0	16790896	335817	133.5	1.0	6619487	132389	133.5	1.0	22016181	440323	133.5	1.0	22016181	440323	133.5	1.0	11305902	226118	133.5	1.0	23723420	474468	133.5	1.0	8962565	179251	133.5	1.0	11503267	230065	133.5	1.0
861	105	5	30887624	617752	135.0	1.0	30887624	617752	135.0	1.0	57339260	1146785	135.0	1.0	17086770	341735	135.0	1.0	6736130	134722	135.0	1.0	22404131	448082	135.0	1.0	22404131	448082	135.0	1.0	11505125	230102	135.0	1.0	24141453	482829	135.0	1.0	9120495	182409	135.0	1.0	11705968	234119	135.0	1.0
862	106	5	31422475	628449	136.5	1.0	31422475	628449	136.5	1.0	58332147	1166642	136.5	1.0	17382645	347652	136.5	1.0	6852773	137055	136.5	1.0	22792082	455841	136.5	1.0	22792082	455841	136.5	1.0	11704348	234086	136.5	1.0	24559487	491189	136.5	1.0	9278426	185568	136.5	1.0	11908669	238173	136.5	1.0
863	107	5	31957325	639146	138.0	1.0	31957325	639146	138.0	1.0	59325035	1186500	138.0	1.0	17678520	353570	138.0	1.0	6969416	139388	138.0	1.0	23180032	463600	138.0	1.0	23180032	463600	138.0	1.0	11903571	238071	138.0	1.0	24977521	499550	138.0	1.0	9436357	188727	138.0	1.0	12111369	242227	138.0	1.0
864	108	5	32492176	649843	139.5	1.0	32492176	649843	139.5	1.0	60317923	1206358	139.5	1.0	17974395	359487	139.5	1.0	7086059	141721	139.5	1.0	23567982	471359	139.5	1.0	23567982	471359	139.5	1.0	12102794	242055	139.5	1.0	25395555	507911	139.5	1.0	9594287	191885	139.5	1.0	12314070	246281	139.5	1.0
865	109	5	33027027	660540	141.0	1.0	33027027	660540	141.0	1.0	61310810	1226216	141.0	1.0	18270270	365405	141.0	1.0	7202702	144054	141.0	1.0	23955933	479118	141.0	1.0	23955933	479118	141.0	1.0	12302017	246040	141.0	1.0	25813589	516271	141.0	1.0	9752218	195044	141.0	1.0	12516771	250335	141.0	1.0
866	110	5	33561877	671237	142.5	1.0	33561877	671237	142.5	1.0	62303698	1246073	142.5	1.0	18566145	371322	142.5	1.0	7319345	146386	142.5	1.0	24343883	486877	142.5	1.0	24343883	486877	142.5	1.0	12501240	250024	142.5	1.0	26231623	524632	142.5	1.0	9910149	198202	142.5	1.0	12719472	254389	142.5	1.0
867	111	5	34096728	681934	144.0	1.0	34096728	681934	144.0	1.0	63296586	1265931	144.0	1.0	18862019	377240	144.0	1.0	7435988	148719	144.0	1.0	24731833	494636	144.0	1.0	24731833	494636	144.0	1.0	12700463	254009	144.0	1.0	26649657	532993	144.0	1.0	10068079	201361	144.0	1.0	12922172	258443	144.0	1.0
868	112	5	34631578	692631	145.5	1.0	34631578	692631	145.5	1.0	64289473	1285789	145.5	1.0	19157894	383157	145.5	1.0	7552631	151052	145.5	1.0	25119784	502395	145.5	1.0	25119784	502395	145.5	1.0	12899686	257993	145.5	1.0	27067690	541353	145.5	1.0	10226010	204520	145.5	1.0	13124873	262497	145.5	1.0
869	113	5	35166429	703328	147.0	1.0	35166429	703328	147.0	1.0	65282361	1305647	147.0	1.0	19453769	389075	147.0	1.0	7669274	153385	147.0	1.0	25507734	510154	147.0	1.0	25507734	510154	147.0	1.0	13098909	261978	147.0	1.0	27485724	549714	147.0	1.0	10383941	207678	147.0	1.0	13327574	266551	147.0	1.0
870	114	5	35701280	714025	148.5	1.0	35701280	714025	148.5	1.0	66275248	1325504	148.5	1.0	19749644	394992	148.5	1.0	7785917	155718	148.5	1.0	25895684	517913	148.5	1.0	25895684	517913	148.5	1.0	13298132	265962	148.5	1.0	27903758	558075	148.5	1.0	10541871	210837	148.5	1.0	13530275	270605	148.5	1.0
871	115	5	36236130	724722	150.0	1.0	36236130	724722	150.0	1.0	67268136	1345362	150.0	1.0	20045519	400910	150.0	1.0	7902560	158051	150.0	1.0	26283635	525672	150.0	1.0	26283635	525672	150.0	1.0	13497355	269947	150.0	1.0	28321792	566435	150.0	1.0	10699802	213996	150.0	1.0	13732975	274659	150.0	1.0
872	116	5	36770981	735419	151.5	1.0	36770981	735419	151.5	1.0	68261024	1365220	151.5	1.0	20341394	406827	151.5	1.0	8019203	160384	151.5	1.0	26671585	533431	151.5	1.0	26671585	533431	151.5	1.0	13696578	273931	151.5	1.0	28739826	574796	151.5	1.0	10857733	217154	151.5	1.0	13935676	278713	151.5	1.0
873	117	5	37305832	746116	153.0	1.0	37305832	746116	153.0	1.0	69253911	1385078	153.0	1.0	20637268	412745	153.0	1.0	8135846	162716	153.0	1.0	27059535	541190	153.0	1.0	27059535	541190	153.0	1.0	13895801	277916	153.0	1.0	29157860	583157	153.0	1.0	11015663	220313	153.0	1.0	14138377	282767	153.0	1.0
874	118	5	37840682	756813	154.5	1.0	37840682	756813	154.5	1.0	70246799	1404935	154.5	1.0	20933143	418662	154.5	1.0	8252489	165049	154.5	1.0	27447486	548949	154.5	1.0	27447486	548949	154.5	1.0	14095024	281900	154.5	1.0	29575893	591517	154.5	1.0	11173594	223471	154.5	1.0	14341078	286821	154.5	1.0
875	119	5	38375533	767510	156.0	1.0	38375533	767510	156.0	1.0	71239687	1424793	156.0	1.0	21229018	424580	156.0	1.0	8369132	167382	156.0	1.0	27835436	556708	156.0	1.0	27835436	556708	156.0	1.0	14294247	285884	156.0	1.0	29993927	599878	156.0	1.0	11331525	226630	156.0	1.0	14543778	290875	156.0	1.0
876	120	5	38910384	778207	157.5	1.0	38910384	778207	157.5	1.0	72232574	1444651	157.5	1.0	21524893	430497	157.5	1.0	8485775	169715	157.5	1.0	28223386	564467	157.5	1.0	28223386	564467	157.5	1.0	14493469	289869	157.5	1.0	30411961	608239	157.5	1.0	11489455	229789	157.5	1.0	14746479	294929	157.5	1.0
877	121	5	39445234	788904	159.0	1.0	39445234	788904	159.0	1.0	73225462	1464509	159.0	1.0	21820768	436415	159.0	1.0	8602418	172048	159.0	1.0	28611337	572226	159.0	1.0	28611337	572226	159.0	1.0	14692692	293853	159.0	1.0	30829995	616599	159.0	1.0	11647386	232947	159.0	1.0	14949180	298983	159.0	1.0
878	122	5	39980085	799601	160.5	1.0	39980085	799601	160.5	1.0	74218349	1484366	160.5	1.0	22116642	442332	160.5	1.0	8719061	174381	160.5	1.0	28999287	579985	160.5	1.0	28999287	579985	160.5	1.0	14891915	297838	160.5	1.0	31248029	624960	160.5	1.0	11805317	236106	160.5	1.0	15151881	303037	160.5	1.0
879	123	5	40514935	810298	162.0	1.0	40514935	810298	162.0	1.0	75211237	1504224	162.0	1.0	22412517	448250	162.0	1.0	8835704	176714	162.0	1.0	29387238	587744	162.0	1.0	29387238	587744	162.0	1.0	15091138	301822	162.0	1.0	31666063	633321	162.0	1.0	11963247	239264	162.0	1.0	15354581	307091	162.0	1.0
880	124	5	41049786	820995	163.5	1.0	41049786	820995	163.5	1.0	76204125	1524082	163.5	1.0	22708392	454167	163.5	1.0	8952347	179046	163.5	1.0	29775188	595503	163.5	1.0	29775188	595503	163.5	1.0	15290361	305807	163.5	1.0	32084096	641681	163.5	1.0	12121178	242423	163.5	1.0	15557282	311145	163.5	1.0
881	125	5	41584637	831692	165.0	1.0	41584637	831692	165.0	1.0	77197012	1543940	165.0	1.0	23004267	460085	165.0	1.0	9068990	181379	165.0	1.0	30163138	603262	165.0	1.0	30163138	603262	165.0	1.0	15489584	309791	165.0	1.0	32502130	650042	165.0	1.0	12279109	245582	165.0	1.0	15759983	315199	165.0	1.0
882	126	5	42119487	842389	166.5	1.0	42119487	842389	166.5	1.0	78189900	1563798	166.5	1.0	23300142	466002	166.5	1.0	9185633	183712	166.5	1.0	30551089	611021	166.5	1.0	30551089	611021	166.5	1.0	15688807	313776	166.5	1.0	32920164	658403	166.5	1.0	12437039	248740	166.5	1.0	15962684	319253	166.5	1.0
883	127	5	42654338	853086	168.0	1.0	42654338	853086	168.0	1.0	79182788	1583655	168.0	1.0	23596017	471920	168.0	1.0	9302275	186045	168.0	1.0	30939039	618780	168.0	1.0	30939039	618780	168.0	1.0	15888030	317760	168.0	1.0	33338198	666763	168.0	1.0	12594970	251899	168.0	1.0	16165384	323307	168.0	1.0
884	128	5	43189189	863783	169.5	1.0	43189189	863783	169.5	1.0	80175675	1603513	169.5	1.0	23891891	477837	169.5	1.0	9418918	188378	169.5	1.0	31326989	626539	169.5	1.0	31326989	626539	169.5	1.0	16087253	321745	169.5	1.0	33756232	675124	169.5	1.0	12752901	255058	169.5	1.0	16368085	327361	169.5	1.0
885	129	5	43724039	874480	171.0	1.0	43724039	874480	171.0	1.0	81168563	1623371	171.0	1.0	24187766	483755	171.0	1.0	9535561	190711	171.0	1.0	31714940	634298	171.0	1.0	31714940	634298	171.0	1.0	16286476	325729	171.0	1.0	34174266	683485	171.0	1.0	12910831	258216	171.0	1.0	16570786	331415	171.0	1.0
886	130	5	44258890	885177	172.5	1.0	44258890	885177	172.5	1.0	82161450	1643229	172.5	1.0	24483641	489672	172.5	1.0	9652204	193044	172.5	1.0	32102890	642057	172.5	1.0	32102890	642057	172.5	1.0	16485699	329713	172.5	1.0	34592299	691845	172.5	1.0	13068762	261375	172.5	1.0	16773487	335469	172.5	1.0
887	131	5	44793741	895874	174.0	1.0	44793741	895874	174.0	1.0	83154338	1663086	174.0	1.0	24779516	495590	174.0	1.0	9768847	195376	174.0	1.0	32490840	649816	174.0	1.0	32490840	649816	174.0	1.0	16684922	333698	174.0	1.0	35010333	700206	174.0	1.0	13226693	264533	174.0	1.0	16976187	339523	174.0	1.0
888	132	5	45328591	906571	175.5	1.0	45328591	906571	175.5	1.0	84147226	1682944	175.5	1.0	25075391	501507	175.5	1.0	9885490	197709	175.5	1.0	32878791	657575	175.5	1.0	32878791	657575	175.5	1.0	16884145	337682	175.5	1.0	35428367	708567	175.5	1.0	13384623	267692	175.5	1.0	17178888	343577	175.5	1.0
889	133	5	45863442	917268	177.0	1.0	45863442	917268	177.0	1.0	85140113	1702802	177.0	1.0	25371266	507425	177.0	1.0	10002133	200042	177.0	1.0	33266741	665334	177.0	1.0	33266741	665334	177.0	1.0	17083368	341667	177.0	1.0	35846401	716928	177.0	1.0	13542554	270851	177.0	1.0	17381589	347631	177.0	1.0
890	134	5	46398293	927965	178.5	1.0	46398293	927965	178.5	1.0	86133001	1722660	178.5	1.0	25667140	513342	178.5	1.0	10118776	202375	178.5	1.0	33654691	673093	178.5	1.0	33654691	673093	178.5	1.0	17282591	345651	178.5	1.0	36264435	725288	178.5	1.0	13700485	274009	178.5	1.0	17584290	351685	178.5	1.0
891	135	5	46933143	938662	180.0	1.0	46933143	938662	180.0	1.0	87125889	1742517	180.0	1.0	25963015	519260	180.0	1.0	10235419	204708	180.0	1.0	34042642	680852	180.0	1.0	34042642	680852	180.0	1.0	17481814	349636	180.0	1.0	36682469	733649	180.0	1.0	13858415	277168	180.0	1.0	17786990	355739	180.0	1.0
892	136	5	47467994	949359	181.5	1.0	47467994	949359	181.5	1.0	88118776	1762375	181.5	1.0	26258890	525177	181.5	1.0	10352062	207041	181.5	1.0	34430592	688611	181.5	1.0	34430592	688611	181.5	1.0	17681037	353620	181.5	1.0	37100502	742010	181.5	1.0	14016346	280326	181.5	1.0	17989691	359793	181.5	1.0
893	137	5	48002844	960056	183.0	1.0	48002844	960056	183.0	1.0	89111664	1782233	183.0	1.0	26554765	531095	183.0	1.0	10468705	209374	183.0	1.0	34818542	696370	183.0	1.0	34818542	696370	183.0	1.0	17880260	357605	183.0	1.0	37518536	750370	183.0	1.0	14174277	283485	183.0	1.0	18192392	363847	183.0	1.0
894	138	5	48537695	970753	184.5	1.0	48537695	970753	184.5	1.0	90104551	1802091	184.5	1.0	26850640	537012	184.5	1.0	10585348	211706	184.5	1.0	35206493	704129	184.5	1.0	35206493	704129	184.5	1.0	18079483	361589	184.5	1.0	37936570	758731	184.5	1.0	14332207	286644	184.5	1.0	18395093	367901	184.5	1.0
895	139	5	49072546	981450	186.0	1.0	49072546	981450	186.0	1.0	91097439	1821948	186.0	1.0	27146514	542930	186.0	1.0	10701991	214039	186.0	1.0	35594443	711888	186.0	1.0	35594443	711888	186.0	1.0	18278706	365574	186.0	1.0	38354604	767092	186.0	1.0	14490138	289802	186.0	1.0	18597793	371955	186.0	1.0
896	140	5	49607396	992147	187.5	1.0	49607396	992147	187.5	1.0	92090327	1841806	187.5	1.0	27442389	548847	187.5	1.0	10818634	216372	187.5	1.0	35982393	719647	187.5	1.0	35982393	719647	187.5	1.0	18477929	369558	187.5	1.0	38772638	775452	187.5	1.0	14648069	292961	187.5	1.0	18800494	376009	187.5	1.0
897	141	5	50142247	1002844	189.0	1.0	50142247	1002844	189.0	1.0	93083214	1861664	189.0	1.0	27738264	554765	189.0	1.0	10935277	218705	189.0	1.0	36370344	727406	189.0	1.0	36370344	727406	189.0	1.0	18677152	373543	189.0	1.0	39190672	783813	189.0	1.0	14805999	296119	189.0	1.0	19003195	380063	189.0	1.0
898	142	5	50677098	1013541	190.5	1.0	50677098	1013541	190.5	1.0	94076102	1881522	190.5	1.0	28034139	560682	190.5	1.0	11051920	221038	190.5	1.0	36758294	735165	190.5	1.0	36758294	735165	190.5	1.0	18876374	377527	190.5	1.0	39608705	792174	190.5	1.0	14963930	299278	190.5	1.0	19205896	384117	190.5	1.0
899	143	5	51211948	1024238	192.0	1.0	51211948	1024238	192.0	1.0	95068990	1901379	192.0	1.0	28330014	566600	192.0	1.0	11168563	223371	192.0	1.0	37146244	742924	192.0	1.0	37146244	742924	192.0	1.0	19075597	381511	192.0	1.0	40026739	800534	192.0	1.0	15121861	302437	192.0	1.0	19408596	388171	192.0	1.0
900	144	5	51746799	1034935	193.5	1.0	51746799	1034935	193.5	1.0	96061877	1921237	193.5	1.0	28625889	572517	193.5	1.0	11285206	225704	193.5	1.0	37534195	750683	193.5	1.0	37534195	750683	193.5	1.0	19274820	385496	193.5	1.0	40444773	808895	193.5	1.0	15279791	305595	193.5	1.0	19611297	392225	193.5	1.0
901	145	5	52281650	1045633	195.0	1.0	52281650	1045633	195.0	1.0	97054765	1941095	195.0	1.0	28921763	578435	195.0	1.0	11401849	228036	195.0	1.0	37922145	758442	195.0	1.0	37922145	758442	195.0	1.0	19474043	389480	195.0	1.0	40862807	817256	195.0	1.0	15437722	308754	195.0	1.0	19813998	396279	195.0	1.0
902	146	5	52816500	1056330	196.5	1.0	52816500	1056330	196.5	1.0	98047652	1960953	196.5	1.0	29217638	584352	196.5	1.0	11518492	230369	196.5	1.0	38310095	766201	196.5	1.0	38310095	766201	196.5	1.0	19673266	393465	196.5	1.0	41280841	825616	196.5	1.0	15595653	311913	196.5	1.0	20016699	400333	196.5	1.0
903	147	5	53351351	1067027	198.0	1.0	53351351	1067027	198.0	1.0	99040540	1980810	198.0	1.0	29513513	590270	198.0	1.0	11635135	232702	198.0	1.0	38698046	773960	198.0	1.0	38698046	773960	198.0	1.0	19872489	397449	198.0	1.0	41698875	833977	198.0	1.0	15753583	315071	198.0	1.0	20219399	404387	198.0	1.0
904	148	5	53886201	1077724	199.5	1.0	53886201	1077724	199.5	1.0	100033428	2000668	199.5	1.0	29809388	596187	199.5	1.0	11751778	235035	199.5	1.0	39085996	781719	199.5	1.0	39085996	781719	199.5	1.0	20071712	401434	199.5	1.0	42116908	842338	199.5	1.0	15911514	318230	199.5	1.0	20422100	408442	199.5	1.0
905	149	5	54421052	1088421	201.0	1.0	54421052	1088421	201.0	1.0	101026315	2020526	201.0	1.0	30105263	602105	201.0	1.0	11868421	237368	201.0	1.0	39473946	789478	201.0	1.0	39473946	789478	201.0	1.0	20270935	405418	201.0	1.0	42534942	850698	201.0	1.0	16069445	321388	201.0	1.0	20624801	412496	201.0	1.0
906	150	5	54955903	1099118	202.5	1.0	54955903	1099118	202.5	1.0	102019203	2040384	202.5	1.0	30401137	608022	202.5	1.0	11985064	239701	202.5	1.0	39861897	797237	202.5	1.0	39861897	797237	202.5	1.0	20470158	409403	202.5	1.0	42952976	859059	202.5	1.0	16227375	324547	202.5	1.0	20827502	416550	202.5	1.0
907	0	6	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0
908	1	6	1045	31	1.0	1.0	1045	31	1.0	1.0	3056	91	1.0	1.0	816	24	1.0	1.0	1035	31	1.0	1.0	910	27	1.0	1.0	910	27	1.0	1.0	840	25	1.0	1.0	931	27	1.0	1.0	1201	36	1.0	1.0	1031	30	1.0	1.0
909	2	6	12992	389	2.0	1.0	12992	389	2.0	1.0	37987	1139	2.0	1.0	10146	304	2.0	1.0	12868	386	2.0	1.0	11318	339	2.0	1.0	11318	339	2.0	1.0	10446	313	2.0	1.0	11569	347	2.0	1.0	14933	447	2.0	1.0	12812	384	2.0	1.0
910	3	6	37262	1117	3.0	1.0	37262	1117	3.0	1.0	108947	3268	3.0	1.0	29100	872	3.0	1.0	36907	1107	3.0	1.0	32462	973	3.0	1.0	32462	973	3.0	1.0	29961	898	3.0	1.0	33181	995	3.0	1.0	42829	1284	3.0	1.0	36745	1102	3.0	1.0
911	4	6	70333	2109	4.0	1.0	70333	2109	4.0	1.0	205640	6169	4.0	1.0	54926	1647	4.0	1.0	69663	2089	4.0	1.0	61273	1838	4.0	1.0	61273	1838	4.0	1.0	56552	1696	4.0	1.0	62630	1878	4.0	1.0	80841	2425	4.0	1.0	69358	2080	4.0	1.0
912	5	6	110834	3324	5.0	1.0	110834	3324	5.0	1.0	324057	9721	5.0	1.0	86556	2596	5.0	1.0	109778	3293	5.0	1.0	96557	2896	5.0	1.0	96557	2896	5.0	1.0	89117	2673	5.0	1.0	98696	2960	5.0	1.0	127393	3821	5.0	1.0	109297	3278	5.0	1.0
913	6	6	157942	4738	6.0	1.0	157942	4738	6.0	1.0	461792	13853	6.0	1.0	123345	3700	6.0	1.0	156437	4693	6.0	1.0	137597	4127	6.0	1.0	137597	4127	6.0	1.0	126995	3809	6.0	1.0	140645	4219	6.0	1.0	181540	5446	6.0	1.0	155752	4672	6.0	1.0
914	7	6	211086	6332	7.0	1.0	211086	6332	7.0	1.0	617175	18515	7.0	1.0	164848	4945	7.0	1.0	209075	6272	7.0	1.0	183895	5516	7.0	1.0	183895	5516	7.0	1.0	169726	5091	7.0	1.0	187970	5639	7.0	1.0	242624	7278	7.0	1.0	208160	6244	7.0	1.0
915	8	6	269838	8095	8.0	1.0	269838	8095	8.0	1.0	788957	23668	8.0	1.0	210731	6321	8.0	1.0	267268	8018	8.0	1.0	235080	7052	8.0	1.0	235080	7052	8.0	1.0	216967	6509	8.0	1.0	240288	7208	8.0	1.0	310155	9304	8.0	1.0	266098	7982	8.0	1.0
916	9	6	333862	10015	9.0	1.0	333862	10015	9.0	1.0	976150	29284	9.0	1.0	260730	7821	9.0	1.0	330682	9920	9.0	1.0	290857	8725	9.0	1.0	290857	8725	9.0	1.0	268446	8053	9.0	1.0	297301	8919	9.0	1.0	383744	11512	9.0	1.0	329234	9877	9.0	1.0
917	10	6	402882	12086	10.0	1.0	402882	12086	10.0	1.0	1177950	35338	10.0	1.0	314631	9438	10.0	1.0	399045	11971	10.0	1.0	350986	10529	10.0	1.0	350986	10529	10.0	1.0	323942	9718	10.0	1.0	358762	10762	10.0	1.0	463076	13892	10.0	1.0	397297	11918	10.0	1.0
918	11	6	476666	14299	11.0	1.0	476666	14299	11.0	1.0	1393683	41810	11.0	1.0	372254	11167	11.0	1.0	472127	14163	11.0	1.0	415266	12457	11.0	1.0	415266	12457	11.0	1.0	383270	11498	11.0	1.0	424467	12733	11.0	1.0	547885	16436	11.0	1.0	470059	14101	11.0	1.0
919	12	6	555019	16650	12.0	1.0	555019	16650	12.0	1.0	1622772	48683	12.0	1.0	433444	13003	12.0	1.0	549734	16491	12.0	1.0	483527	14505	12.0	1.0	483527	14505	12.0	1.0	446271	13388	12.0	1.0	494239	14827	12.0	1.0	637945	19138	12.0	1.0	547326	16419	12.0	1.0
920	13	6	637769	19133	13.0	1.0	637769	19133	13.0	1.0	1864717	55941	13.0	1.0	498067	14942	13.0	1.0	631695	18950	13.0	1.0	555617	16668	13.0	1.0	555617	16668	13.0	1.0	512807	15384	13.0	1.0	567927	17037	13.0	1.0	733059	21991	13.0	1.0	628929	18867	13.0	1.0
921	14	6	724765	21742	14.0	1.0	724765	21742	14.0	1.0	2119077	63572	14.0	1.0	566007	16980	14.0	1.0	717863	21535	14.0	1.0	631407	18942	14.0	1.0	631407	18942	14.0	1.0	582757	17482	14.0	1.0	645397	19361	14.0	1.0	833053	24991	14.0	1.0	714719	21441	14.0	1.0
922	15	6	815874	24476	15.0	1.0	815874	24476	15.0	1.0	2385460	71563	15.0	1.0	637158	19114	15.0	1.0	808103	24243	15.0	1.0	710780	21323	15.0	1.0	710780	21323	15.0	1.0	656014	19680	15.0	1.0	726528	21795	15.0	1.0	937774	28133	15.0	1.0	804565	24136	15.0	1.0
923	16	6	910974	27329	16.0	1.0	910974	27329	16.0	1.0	2663515	79905	16.0	1.0	711427	21342	16.0	1.0	902298	27068	16.0	1.0	793630	23808	16.0	1.0	793630	23808	16.0	1.0	732481	21974	16.0	1.0	811214	24336	16.0	1.0	1047083	31412	16.0	1.0	898347	26950	16.0	1.0
924	17	6	1009957	30298	17.0	1.0	1009957	30298	17.0	1.0	2952924	88587	17.0	1.0	788728	23661	17.0	1.0	1000339	30010	17.0	1.0	879863	26395	17.0	1.0	879863	26395	17.0	1.0	812070	24362	17.0	1.0	899357	26980	17.0	1.0	1160855	34825	17.0	1.0	995958	29878	17.0	1.0
925	18	6	1112725	33381	18.0	1.0	1112725	33381	18.0	1.0	3253396	97601	18.0	1.0	868985	26069	18.0	1.0	1102127	33063	18.0	1.0	969393	29081	18.0	1.0	969393	29081	18.0	1.0	894702	26841	18.0	1.0	990871	29726	18.0	1.0	1278978	38369	18.0	1.0	1097301	32918	18.0	1.0
926	19	6	1219186	36575	19.0	1.0	1219186	36575	19.0	1.0	3564668	106939	19.0	1.0	952126	28563	19.0	1.0	1207574	36227	19.0	1.0	1062141	31864	19.0	1.0	1062141	31864	19.0	1.0	980303	29409	19.0	1.0	1085673	32570	19.0	1.0	1401345	42040	19.0	1.0	1202286	36068	19.0	1.0
927	20	6	1329256	39877	20.0	1.0	1329256	39877	20.0	1.0	3886494	116594	20.0	1.0	1038086	31142	20.0	1.0	1316597	39497	20.0	1.0	1158033	34740	20.0	1.0	1158033	34740	20.0	1.0	1068807	32064	20.0	1.0	1183690	35510	20.0	1.0	1527861	45835	20.0	1.0	1310831	39324	20.0	1.0
928	21	6	1442860	43285	21.0	1.0	1442860	43285	21.0	1.0	4218648	126559	21.0	1.0	1126805	33804	21.0	1.0	1429118	42873	21.0	1.0	1257003	37710	21.0	1.0	1257003	37710	21.0	1.0	1160151	34804	21.0	1.0	1284853	38545	21.0	1.0	1658438	49753	21.0	1.0	1422860	42685	21.0	1.0
929	22	6	1559924	46797	22.0	1.0	1559924	46797	22.0	1.0	4560921	136827	22.0	1.0	1218226	36546	22.0	1.0	1545067	46351	22.0	1.0	1358988	40769	22.0	1.0	1358988	40769	22.0	1.0	1254278	37628	22.0	1.0	1389097	41672	22.0	1.0	1792993	53789	22.0	1.0	1538301	46148	22.0	1.0
930	23	6	1680382	50411	23.0	1.0	1680382	50411	23.0	1.0	4913117	147393	23.0	1.0	1312298	39368	23.0	1.0	1664378	49931	23.0	1.0	1463930	43917	23.0	1.0	1463930	43917	23.0	1.0	1351134	40533	23.0	1.0	1496364	44890	23.0	1.0	1931448	57943	23.0	1.0	1657089	49712	23.0	1.0
931	24	6	1804171	54125	24.0	1.0	1804171	54125	24.0	1.0	5275052	158251	24.0	1.0	1408971	42269	24.0	1.0	1786988	53609	24.0	1.0	1571773	47153	24.0	1.0	1571773	47153	24.0	1.0	1450668	43520	24.0	1.0	1606597	48197	24.0	1.0	2073733	62211	24.0	1.0	1779163	53374	24.0	1.0
932	25	6	1931232	57936	25.0	1.0	1931232	57936	25.0	1.0	5646556	169396	25.0	1.0	1508200	45245	25.0	1.0	1912840	57385	25.0	1.0	1682468	50474	25.0	1.0	1682468	50474	25.0	1.0	1552834	46584	25.0	1.0	1719744	51592	25.0	1.0	2219778	66593	25.0	1.0	1904463	57133	25.0	1.0
